word,sentiment,n,value
timid,negative,1,-2
torturing,negative,1,-4
touts,negative,1,-2
treasure,positive,1,2
triumph,positive,1,4
unclear,negative,1,-1
undesirable,negative,1,-2
unequal,negative,1,-1
unhappy,negative,1,-2
unhealthy,negative,1,-2
urgent,negative,1,-1
vexation,negative,1,-2
warmth,positive,1,2
weary,negative,1,-2
woo,positive,1,3
worrying,negative,1,-3
zealot,negative,1,-2
