word,sentiment,n,value
avid,positive,1,2
betrays,negative,1,-3
bitterly,negative,1,-2
blurry,negative,1,-2
calming,positive,1,2
casualty,negative,1,-2
cheery,positive,1,3
cleaner,positive,1,2
clears,positive,1,1
contemptuous,negative,1,-2
contentious,negative,1,-2
costly,negative,1,-2
courteous,positive,1,2
defects,negative,1,-3
deride,negative,1,-2
disadvantaged,negative,1,-2
dismal,negative,1,-2
disruption,negative,1,-2
distressing,negative,1,-2
douchebag,negative,1,-3
dud,negative,1,-2
dupe,negative,1,-2
ecstatic,positive,1,4
enrage,negative,1,-2
enraging,negative,1,-2
enthusiastic,positive,1,3
fabulous,positive,1,4
fascinate,positive,1,3
fondness,positive,1,2
frantic,negative,1,-1
fright,negative,1,-2
ftw,positive,1,3
genial,positive,1,3
gloomy,negative,1,-2
glum,negative,1,-2
hardy,positive,1,2
haunting,negative,1,1
heavenly,positive,1,4
hindrance,negative,1,-2
hopelessness,negative,1,-2
humour,positive,1,2
impotent,negative,1,-2
inconsiderate,negative,1,-2
infuriated,negative,1,-2
insensitivity,negative,1,-2
insignificant,negative,1,-2
intricate,positive,1,2
irresistible,positive,1,2
jubilant,positive,1,3
leak,negative,1,-1
litigious,negative,1,-2
masterpiece,positive,1,4
mediocrity,negative,1,-3
needy,negative,1,-2
negativity,negative,1,-2
noisy,negative,1,-1
nosey,negative,1,-2
obstinate,negative,1,-2
offender,negative,1,-2
oversimplification,negative,1,-2
panicked,negative,1,-3
perplexed,negative,1,-2
pique,negative,1,-2
playful,positive,1,2
pleasant,positive,1,3
pollute,negative,1,-2
rash,negative,1,-2
regretted,negative,1,-2
relaxed,positive,1,2
remorse,negative,1,-2
repulse,negative,1,-1
repulsed,negative,1,-2
retarded,negative,1,-2
scold,negative,1,-2
scorn,negative,1,-2
shortage,negative,1,-2
slashing,negative,1,-2
slick,positive,1,2
stimulate,positive,1,1
stingy,negative,1,-2
stupidly,negative,1,-2
suave,positive,1,2
suicidal,negative,1,-2
swift,positive,1,2
tender,positive,1,2
torturing,negative,1,-4
trapped,negative,1,-2
triumphant,positive,1,4
troubled,negative,1,-2
unconfirmed,negative,1,-1
undecided,negative,1,-1
uneasy,negative,1,-2
vexation,negative,1,-2
virtuous,positive,1,2
weep,negative,1,-2
worsen,negative,1,-3
zealot,negative,1,-2
